City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,Lock Haven,US,2021-04-21 17:47:50,41.137,-77.4469,41.0,62,100,1.99
190,Copiapo,CL,2021-04-21 17:47:51,-27.3667,-70.3333,69.8,49,0,17.27
191,Aktash,RU,2021-04-21 17:47:51,50.3,87.7333,13.32,91,99,5.14
192,Zambezi,ZM,2021-04-21 17:47:51,-13.5432,23.1047,68.32,58,4,4.52
193,Panaba,MX,2021-04-21 17:47:52,21.2833,-88.2667,89.47,51,33,6.15
194,Vila Velha,BR,2021-04-21 17:47:46,-20.3297,-40.2925,84.0,54,0,9.22
195,Arlit,NE,2021-04-21 17:47:52,18.7369,7.3853,97.57,9,3,8.77
196,Saldanha,ZA,2021-04-21 17:46:22,-33.0117,17.9442,64.4,72,18,5.75
197,Tessalit,ML,2021-04-21 17:45:12,20.1986,1.0114,92.05,4,64,10.36
198,Camaqua,BR,2021-04-21 17:46:34,-30.8511,-51.8122,73.65,58,71,12.53
199,Cayenne,GF,2021-04-21 17:47:53,4.9333,-52.3333,82.4,83,75,11.5
200,Atasu,KZ,2021-04-21 17:47:53,48.6814,71.6433,37.29,57,15,7.67
201,Kavaratti,IN,2021-04-21 17:47:54,10.5669,72.642,84.49,67,49,8.01
202,Mogadishu,SO,2021-04-21 17:44:59,2.0371,45.3438,83.97,74,100,12.75
203,Weligama,LK,2021-04-21 17:47:54,5.9667,80.4167,79.38,82,77,6.26
204,Castro Verde,PT,2021-04-21 17:47:54,37.6983,-8.0858,64.4,63,75,12.66
205,Dores Do Indaia,BR,2021-04-21 17:47:55,-19.4633,-45.6017,81.14,34,1,5.23
206,Navalmoral De La Mata,ES,2021-04-21 17:47:55,39.8916,-5.5406,52.0,82,100,3.0
207,Bahar,IR,2021-04-21 17:47:56,34.9072,48.4414,67.26,34,87,2.17
208,Bonga,ET,2021-04-21 17:47:56,7.2833,36.2333,68.58,68,100,2.13
209,Ilulissat,GL,2021-04-21 17:47:56,69.2167,-51.1,24.8,50,1,5.75
210,Port Blair,IN,2021-04-21 17:45:20,11.6667,92.75,81.37,76,19,5.95
211,Auch,FR,2021-04-21 17:42:58,43.65,0.5833,62.6,72,75,11.5
212,Klyuchi,RU,2021-04-21 17:47:57,52.2667,79.1667,29.88,73,71,8.88
213,Nouakchott,MR,2021-04-21 17:46:32,18.0858,-15.9785,73.4,64,84,24.16
214,Kruisfontein,ZA,2021-04-21 17:47:18,-34.0033,24.7314,64.99,89,80,1.01
215,Kenitra,MA,2021-04-21 17:47:57,34.261,-6.5802,66.2,68,89,9.22
216,Malartic,CA,2021-04-21 17:47:58,48.1335,-78.1328,23.0,63,75,9.22
217,Pisco,PE,2021-04-21 17:44:45,-13.7,-76.2167,73.4,68,0,10.36
218,Bondo,CD,2021-04-21 17:47:58,3.8146,23.6866,72.73,79,97,3.29
219,Mitu,CO,2021-04-21 17:47:58,1.1983,-70.1733,80.87,72,98,3.18
