City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Bubaque,GW,11.2833,-15.8333,78.3,71,99,19.22,overcast clouds
236,San Pedro,PH,14.35,121.0167,82.4,78,75,2.3,broken clouds
237,Acarau,BR,-2.8856,-40.12,80.31,78,98,6.44,overcast clouds
238,Urubicha,BO,-15.3833,-62.95,85.86,55,68,3.74,light rain
239,Luba,GQ,3.4568,8.5547,80.6,89,20,6.91,few clouds
240,Tessalit,ML,20.1986,1.0114,87.66,6,100,7.65,overcast clouds
241,Gondar,ET,12.6,37.4667,65.86,46,89,4.76,overcast clouds
242,Derzhavinsk,KZ,51.1,66.3167,42.6,57,4,6.02,clear sky
243,Cayenne,GF,4.9333,-52.3333,82.4,78,75,13.8,broken clouds
244,Kem,RU,64.9555,34.5793,35.6,96,100,5.5,overcast clouds
245,Malyn,UA,50.7723,29.2383,48.2,66,34,8.95,scattered clouds
246,Skrunda,LV,56.6833,22.0167,44.6,76,75,19.57,broken clouds
247,Sur,OM,22.5667,59.5289,85.39,41,0,11.7,clear sky
248,Farafangana,MG,-22.8167,47.8333,72.64,85,100,2.73,light rain
249,Hualmay,PE,-11.0964,-77.6139,72.03,76,11,8.7,few clouds
250,Manono,CD,-7.3,27.4167,69.46,94,100,2.46,moderate rain
251,Moca,DO,19.5,-70.5,91.4,40,20,14.97,few clouds
252,Chabahar,IR,25.2919,60.643,80.85,71,0,8.28,clear sky
253,Narok,KE,-1.0783,35.8601,60.17,94,100,6.6,light rain
254,Panama City,PA,8.9936,-79.5197,89.6,83,40,8.05,scattered clouds
255,Kindu,CD,-2.95,25.95,69.19,96,95,2.39,overcast clouds
256,Andenes,NO,69.3143,16.1194,34.0,60,75,8.05,light snow
257,Ostersund,SE,63.1792,14.6357,32.0,64,100,18.41,overcast clouds
258,Kormilovka,RU,55.0026,74.1028,24.8,58,0,6.71,clear sky
259,Hobyo,SO,5.3505,48.5268,84.47,68,99,14.29,overcast clouds
260,Turukhansk,RU,65.8167,87.9833,1.72,99,97,3.22,overcast clouds
261,Njombe,TZ,-9.3333,34.7667,57.34,98,100,6.26,light rain
262,Rena,NO,61.1348,11.3641,37.99,60,97,8.01,overcast clouds
263,Pacasmayo,PE,-7.4006,-79.5714,73.15,73,7,14.92,clear sky
264,Henties Bay,NA,-22.116,14.2845,68.0,81,91,1.01,overcast clouds
265,Umm Kaddadah,SD,13.6017,26.6876,86.95,8,6,11.79,clear sky
266,Aizpute,LV,56.7167,21.6,44.6,76,75,19.57,broken clouds
267,Manaure,CO,11.7751,-72.4445,89.38,46,86,16.44,overcast clouds
268,Tetiyiv,UA,49.3767,29.6647,45.68,74,20,7.56,few clouds
269,Ust-Kan,RU,50.9276,84.761,19.29,75,89,0.56,overcast clouds
270,Sawakin,SD,19.1059,37.3321,83.44,59,4,6.71,clear sky
271,Mihona,IN,26.2844,78.9817,80.22,34,97,5.17,overcast clouds
272,Penzance,GB,50.1186,-5.5371,50.0,87,20,19.57,haze
273,Villarrica,PY,-25.75,-56.4333,86.81,27,6,6.91,clear sky
274,Lincoln,US,40.8,-96.667,46.0,33,90,9.22,overcast clouds
