City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
388,Moundou,TD,83.25,overcast clouds,8.5667,16.0833,Planete Life
390,Porto Nacional,BR,84.2,broken clouds,-10.7081,-48.4172,Vila Real Hotel
392,Atar,MR,87.01,few clouds,20.5169,-13.0499,Oumou Elghoura
395,Sao Miguel Do Araguaia,BR,83.01,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
397,Thinadhoo,MV,82.18,scattered clouds,0.5333,72.9333,
398,Portobelo,PA,86.0,broken clouds,9.55,-79.65,Scuba Portobelo
400,Abapo,BO,86.95,clear sky,-18.8333,-63.4667,
401,Mazagao,BR,82.4,scattered clouds,-0.115,-51.2894,Recanto dos Ferreiras
402,Nalut,LY,75.83,clear sky,30.3333,10.85,
404,Tucuma,BR,78.89,broken clouds,-0.1833,-50.05,
406,Golden Gate,US,82.0,overcast clouds,26.1879,-81.6951,Quality Inn & Suites Golf Resort
415,Pipri,IN,84.47,overcast clouds,19.8,75.5333,Sukhana River nilu and rushi home
424,Laguna De Perlas,NI,86.0,scattered clouds,12.3429,-83.6712,Hotel Best View
425,Mecca,SA,88.09,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
428,Babana,NG,80.6,overcast clouds,10.4295,3.815,
429,Rio Brilhante,BR,86.34,clear sky,-21.8019,-54.5464,Hotel Cattani
430,Kavaratti,IN,83.61,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
432,Tsogni,GA,79.02,overcast clouds,-2.7942,10.0988,
435,Eyl,SO,82.87,light rain,7.9803,49.8164,Amiin Hotel
437,Fray Bentos,UY,78.01,broken clouds,-33.1325,-58.2956,Gran Hotel Fray Bentos
446,Manaus,BR,89.6,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
447,Gwadar,PK,81.5,clear sky,25.1216,62.3254,Sadaf Resort
449,Galle,LK,80.67,overcast clouds,6.0367,80.217,Amangalla
453,Morondava,MG,77.88,scattered clouds,-20.2833,44.2833,La Case Bambou
455,Najran,SA,77.0,clear sky,17.4924,44.1277,محمد هادي ال فطيح
461,Iralaya,HN,87.8,broken clouds,15.0,-83.2333,Iglesia morava renovada
466,Booue,GA,76.3,scattered clouds,-0.0921,11.9385,Splendeur de l'équateur
468,Bathsheba,BB,82.4,broken clouds,13.2167,-59.5167,Atlantis Hotel
470,Araci,BR,82.29,heavy intensity rain,-11.3333,-38.9667,Pousada Posto Rodagem II
478,Bonthe,SL,81.07,light rain,7.5264,-12.505,Bonthe Holiday Village
483,Cabinda,AO,79.97,light rain,-5.55,12.2,Hotel Maiombe
488,Quatre Cocos,MU,78.01,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
494,Paharpur,PK,75.88,few clouds,32.1038,70.9724,salem .T. Hotal
495,Kutum,SD,81.95,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
496,Sumbe,AO,80.83,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
503,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
506,Isabela,PH,77.99,overcast clouds,6.7085,121.9711,Isawad Resort
509,Durgapur,IN,89.01,scattered clouds,23.4833,87.3167,OYO 23635 Sher E Bengal
513,Calabar,NG,79.57,light rain,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
515,Kifri,IQ,84.45,clear sky,34.6959,44.9661,میزان کفری
516,Cruzeiro Do Sul,BR,77.0,overcast clouds,-29.5128,-51.9853,Estrela Palace Hotel
518,Sirumugai,IN,78.8,haze,11.3333,77.0167,Suman
520,Mangrol,IN,79.38,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
529,Salta,AR,78.8,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
530,Utinga,BR,86.0,few clouds,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
535,Karaton,ID,81.0,haze,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
547,Robertsport,LR,82.51,light rain,6.7533,-11.3686,Kwepunha Retreat
550,Laurens,US,77.0,scattered clouds,32.4502,-82.9165,Holiday Inn Express & Suites Dublin
551,Caiaponia,BR,80.56,clear sky,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
554,Ipanema,BR,75.2,broken clouds,-30.1391,-51.2244,B&B Hospedaria Vila Flores de Moura
558,Marsh Harbour,BS,80.56,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
564,Camopi,GF,77.58,moderate rain,3.1655,-52.3158,
572,San Cristobal,VE,89.6,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
573,Fort Myers Beach,US,82.4,clear sky,26.452,-81.9481,Lani Kai Island Resort
576,Rajshahi,BD,83.75,broken clouds,24.3667,88.6,Anjum Hotel International
